1-Oct-28	3500000
2-Oct-28	3264592
3-Oct-28	3381081
4-Oct-28	3173627
5-Oct-28	3472834
6-Oct-28	3255841
7-Oct-28	3012546
8-Oct-28	3219516
9-Oct-28	3349783
10-Oct-28	3460405
11-Oct-28	3535272
12-Oct-28	3733636
13-Oct-28	3558950
14-Oct-28	3826850
15-Oct-28	3724330
16-Oct-28	3681061
17-Oct-28	3980749
18-Oct-28	4223866
19-Oct-28	4442505
20-Oct-28	4181589
21-Oct-28	4106863
22-Oct-28	4340176
23-Oct-28	4015870
24-Oct-28	3817771
25-Oct-28	3521122
26-Oct-28	3312604
27-Oct-28	3395026
28-Oct-28	3487434
29-Oct-28	3447394
30-Oct-28	3745443
31-Oct-28	4074206
1-Nov-28	3924288
2-Nov-28	3639687
3-Nov-28	3696395
4-Nov-28	3389437
5-Nov-28	3094673
6-Nov-28	3377528
7-Nov-28	3121983
8-Nov-28	2853224
9-Nov-28	2729201
10-Nov-28	2452620
11-Nov-28	2365482
12-Nov-28	2636010
13-Nov-28	2369514
14-Nov-28	2331793
15-Nov-28	2645815
16-Nov-28	2507408
17-Nov-28	2443581
18-Nov-28	2311252
19-Nov-28	2064069
20-Nov-28	2380313
21-Nov-28	2578045
22-Nov-28	2872449
23-Nov-28	3205026
24-Nov-28	3243668
25-Nov-28	3055569
26-Nov-28	2815373
27-Nov-28	2505615
28-Nov-28	2698292
29-Nov-28	2384411
30-Nov-28	2641966
1-Dec-28	2849510
2-Dec-28	2903121
3-Dec-28	2951659
4-Dec-28	3144527
5-Dec-28	3481320
6-Dec-28	3580592
7-Dec-28	3480013
8-Dec-28	3182356
9-Dec-28	2909184
10-Dec-28	3189608
11-Dec-28	3020461
12-Dec-28	3187193
13-Dec-28	3399449
14-Dec-28	3516748
15-Dec-28	3589009
16-Dec-28	3901477
17-Dec-28	4071036
18-Dec-28	4170043
19-Dec-28	3876034
20-Dec-28	3716560
21-Dec-28	4034909
22-Dec-28	3903816
23-Dec-28	3845213
24-Dec-28	4154665
25-Dec-28	3990300
26-Dec-28	3647245
27-Dec-28	3308965
28-Dec-28	3180981
29-Dec-28	3298396
30-Dec-28	2956989
